state,year,month,period,indicator,percent_complete,percent_pending_investigation,state_name,footnote,footnote_symbol,data_value,predicted_value,date
AK,2021,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,18.0,18,2021-09-01
AK,2021,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,17.0,17,2021-10-01
AK,2021,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,14.0,14,2021-11-01
AK,2021,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11.0,11,2021-12-01
AK,2022,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10.0,10,2022-01-01
AK,2022,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10.0,10,2022-02-01
AK,2022,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2022-03-01
AK,2022,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2022-04-01
AK,2022,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2022-05-01
AK,2022,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10.0,10,2022-06-01
AK,2022,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,,2022-07-01
AK,2022,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10.0,10,2022-08-01
AK,2022,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10.0,10,2022-09-01
AK,2022,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13.0,13,2022-10-01
AK,2022,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,16.0,16,2022-11-01
AK,2022,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,21.0,21,2022-12-01
AK,2023,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,22.0,22,2023-01-01
AK,2023,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,21.0,21,2023-02-01
AK,2023,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,22.0,22,2023-03-01
AK,2023,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,24.0,24,2023-04-01
AK,2023,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,27.0,27,2023-05-01
AK,2023,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,28.0,28,2023-06-01
AK,2023,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,29.0,29,2023-07-01
AK,2023,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,31.0,31,2023-08-01
AK,2023,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,34.0,34,2023-09-01
AK,2023,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,31.0,31,2023-10-01
AK,2023,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,30.0,30,2023-11-01
AK,2023,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,31.0,31,2023-12-01
AK,2024,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,35.0,35,2024-01-01
AK,2024,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,36.0,36,2024-02-01
AK,2024,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,36.0,36,2024-03-01
AK,2024,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,39.0,39,2024-04-01
AK,2024,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,39.0,39,2024-05-01
AK,2024,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,38.0,38,2024-06-01
AK,2024,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,39.0,39,2024-07-01
AK,2024,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,37.0,37,2024-08-01
AK,2024,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,33.0,33,2024-09-01
AK,2024,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,32.0,32,2024-10-01
AK,2024,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,34.0,34,2024-11-01
AK,2024,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,31.0,31,2024-12-01
AK,2025,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,26.0,26,2025-01-01
AK,2025,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,28.0,28,2025-02-01
AK,2025,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,30.0,30,2025-03-01
AK,2025,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,28.0,28,2025-04-01
AK,2025,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,28.0,28,2025-05-01
AK,2025,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,30.0,30,2025-06-01
AK,2025,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,31.0,31,2025-07-01
AK,2025,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,31.0,31,2025-08-01
